name,country,currentFormPointsAfter2022_2023,currentFormPointsAfter2023_2024,currentFormPointsAfter2024_2025,currentFormPointsAfter2025_2026
Zhang Jiankang,China,1333.9570793393793,1333.9570793393793,1333.9570793393793,1333.9570793393793
Paul Deaville,England,0.0,0.0,1279.2599481219738,1256.4090137945986
Ma Shaojun,China,0.0,0.0,1460.2900275300588,1460.2900275300588
Thor Chuan Leong,Malaysia,0.0,1450.1383351572808,1568.277614184843,1568.277614184843
Qiu Lei,China,0.0,0.0,1460.1892644556242,1419.3114596625212
Liu Wenwei,China,0.0,0.0,0.0,1540.6283884500724
David Gilbert,England,1750.3791765112674,2203.486030082957,1827.344116712227,1847.1406331507412
Mark Allen,Northern Ireland,2116.9765902050876,1984.5163293714234,1945.0525508920473,2220.3543881394066
Jack O'Brien,Ireland,0.0,0.0,0.0,1490.4952635795737
Yisong Peng,China,1133.3252428695912,1472.5374929600944,1472.5374929600944,1472.5374929600944
Hossein Vafaei,Iran,1761.6493366626132,1969.7821720896295,2108.439159850849,1686.5347713947601
Zhang Hao,China,0.0,0.0,0.0,1465.8813215344053
Andy Lee,England,1188.1814901152109,1129.4844260847942,1129.4844260847942,1129.4844260847942
Kyren Wilson,England,2079.044018804217,2345.5270206878818,2175.194324054104,2228.361788678453
Kreishh Gurbaxani,India,0.0,0.0,1192.4923426542396,1044.5736529979688
Liang Wenbo,China,1503.980023866871,1503.980023866871,1503.980023866871,1503.980023866871
Haydon Pinhey,England,1376.0555892216237,1298.106000908016,1357.1161147858927,1471.392848275659
Alex Taubman,Wales,0.0,1346.307843188075,1346.307843188075,1346.307843188075
Hamza Ilyas,Pakistan,0.0,1341.0842952967887,1341.0842952967887,1341.0842952967887
Simon Blackwell,England,0.0,0.0,1220.6711601475627,1248.2423617607005
Anthony McGill,Scotland,1891.8035272873724,1611.9802888896224,1676.2476356870404,1846.2368701039004
Jamie Jones,Wales,1538.1625149236595,1849.7553538184486,1649.1284621711716,1492.389308577276
Zhou Yuelong,China,1615.1928918888218,1810.249352850698,2018.7750907858776,2179.110499351137
Omar Alajlani,Saudi Arabia,0.0,1473.6513069546832,1403.154376299282,1333.4204633514917
Yao Pengcheng,China,0.0,0.0,0.0,1470.9251263402423
Huang Jiahao,China,0.0,0.0,1272.0279723680958,1441.5313261187353
Connor Benzey,England,0.0,0.0,1524.0917888164931,1207.3834129085687
Haris Tahir,Pakistan,0.0,0.0,1214.7965741146345,1257.6473107951767
Abdullah Alotayyani,Saudi Arabia,0.0,0.0,1438.154362604008,1372.5623644726707
Umut Dikme,Germany,0.0,1370.8937716136995,1344.732665083196,1252.0969870124175
Ali Al Obaidly,Qatar,0.0,1471.9496938351565,1408.6226393205648,1408.6226393205648
