name,country,currentFormPoints,currentFormPointsAfter2025-2026
Mohamed Ibrahim,Egypt,1187.305248009509,1005.1395821132402
Luca Brecel,Belgium,2265.8618249844953,1624.235265377678
Jimmy Robertson,England,1659.1137228228517,1950.587442333574
Rebecca Kenna,England,1027.4660803800166,813.7960489685879
Fergal O'Brien,Ireland,1341.1349186604753,1228.6459001880114
David Lilley,England,1483.213337910345,1628.668742935154
Gary Wilson,England,1856.3765008898702,1911.9734931012777
Michael White,Wales,1524.0612091484838,1603.4651283507378
Riley Powell,Wales,1499.9348343248332,1298.8292264028462
Yuan Sijun,China,1622.6030145413647,1733.2826267609437
Fraser Patrick,Scotland,1371.8754509325,1371.8754509325
Yan Bingtao,China,1822.1879106889326,1822.1879106889326
Lukas Kleckers,Germany,1483.7357192832603,1376.0211829775756
Jamie O'Neill,England,1365.9419622542082,1258.3768384851858
Dechawat Poomjaeng,Thailand,1408.4515971474693,1408.4515971474693
Oliver Lines,England,1497.914726698918,1817.2646985181404
Jianbo Zhao,China,1589.265669624006,1589.265669624006
Dominic Dale,Wales,1449.1225255760166,1391.2051626817004
Jamie Clarke,Wales,1443.5269587406415,1596.719130799787
Michael Judge,Ireland,1149.3144879595689,1149.3144879595689
Ashley Hugill,England,1463.3550208972629,1513.813176939553
Ian Burns,England,1383.3828630351304,1699.7294404510685
Jack Lisowski,England,1801.9661325054008,2101.390272197272
Louis Heathcote,England,1529.6536236422642,1709.2502325079456
Peter Devlin,England,1467.810649324301,1467.810649324301
Zhao Xintong,China,1673.0676528046192,2398.5066744347946
Hammad Miah,England,1253.6966282082576,1360.9432808426013
Jack Borwick,Scotland,1489.1924075117402,1342.3933896084309
Robert Milkins,England,1672.6633066699362,1652.2366900928898
Jenson Kendrick,England,1049.3598152126303,1549.7186420678436
Aaron Hill,Ireland,1478.965517108505,1757.4640246862348
Ben Woollaston,England,1514.4951471688967,1624.1553676507783
Luke Simmonds,England,1350.538690537882,1350.538690537882
Allan Taylor,England,1447.854073061019,1400.800440011968
